level,x,y,ID,Verfasser,Seitenzahl,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,LeerTotal,AnstreichungTotal,UnterstreichungTotal,DurchstreichungTotal,SonstigeMarkierungTotal,ZusatzMaterialTotal,AnderesTotal,ProvenienzTotal,StempelTotal,KommentarTotal,BewertungTotal,TextkorrekturTotal,VarianteTotal,UebersetzungTotal,Bio
verfasser,-1.2416964036375682,0.5881490613730481,"Dahn, Felix","Dahn, Felix",638,626,6,3,0,2,0,1,1,1,3,0,1,0,0,626,6,3,0,2,0,1,1,1,3,0,1,0,0,"Felix Dahn (auch Ludwig Sophus; * 9. Februar 1834 in Hamburg; † 3. Januar 1912 in Breslau) war ein deutscher Rechtswissenschaftler, Schriftsteller und Historiker."
verfasser,1.069430192048132,1.1008830138297467,"Fitger, Arthur","Fitger, Arthur",116,111,0,0,0,0,0,4,1,1,1,0,0,0,0,111,0,0,0,0,0,4,1,1,1,0,0,0,0,Arthur Heinrich Wilhelm Fitger (* 4. Oktober 1840 in Delmenhorst; † 28. Juni 1909 in Horn bei Bremen) war ein deutscher Maler und Dichter.
verfasser,-0.016237030206105077,-0.05148024438066803,"Fontane, Theodor","Fontane, Theodor",13373,12486,20,19,20,63,29,171,58,46,66,1,10,16,0,12486,20,19,20,63,29,171,58,46,66,1,10,16,0,Heinrich Theodor Fontane (* 30. Dezember 1819 in Neuruppin; † 20. September 1898 in Berlin) war ein deutscher Schriftsteller. Er gilt als literarischer Spiegel Preußens und als bedeutendster deutscher Vertreter des Realismus.
verfasser,3.866772005100868,3.3810261856199806,"Forster, John","Forster, John",492,481,0,0,0,0,8,3,1,1,0,0,0,0,0,481,0,0,0,0,8,3,1,1,0,0,0,0,0,"John Forster (* 2. April 1812 in Newcastle upon Tyne; † 2. Februar 1876 in London) war ein englischer Publizist, Historiker und Biograph. Er war mit Charles Dickens befreundet."
verfasser,-5.278217000594902,-9.016824818828923,"Freytag, Gustav","Freytag, Gustav",894,213,152,14,6,521,0,229,4,2,36,34,0,0,0,213,152,14,6,521,0,229,4,2,36,34,0,0,0,"Gustav Freytag (* 13. Juli 1816 in Kreuzburg, Oberschlesien; † 30. April 1895 in Wiesbaden) war ein deutscher Schriftsteller."
verfasser,2.747784099048181,-1.3330991304312658,"Geibel, Emanuel","Geibel, Emanuel",406,390,0,0,0,0,0,4,5,2,0,0,0,0,0,390,0,0,0,0,0,4,5,2,0,0,0,0,0,"Franz Emanuel August Geibel (* 17. Oktober 1815 in Lübeck; † 6. April 1884 ebenda) war ein deutscher Lyriker. Er war zwischen 1840 und 1914 ein literarisch hoch geschätzter und außergewöhnlich populärer Autor, dessen kunstvolles Liederwerk Komponisten wie Robert Schumann, Hugo Wolf, Felix Mendelssohn Bartholdy und Johannes Brahms inspirierte."
verfasser,-0.8894110489504835,-1.911230703629523,"Gensichen, Otto Franz","Gensichen, Otto Franz",108,92,7,12,0,0,0,1,1,2,11,3,1,0,0,92,7,12,0,0,0,1,1,2,11,3,1,0,0,"Otto Franz Gensichen (* 4. Februar 1847 in Driesen; † 24. August 1933) war ein deutscher Schriftsteller, Dramatiker und Publizist. Er benutzte das Pseudonym Otto Franz."
verfasser,-2.0025552583789357,0.32462810619519383,"Goethe, Johann Wolfgang von","Goethe, Johann Wolfgang von",3890,3728,66,12,1,61,0,6,5,5,41,12,1,0,0,3728,66,12,1,61,0,6,5,5,41,12,1,0,0,"Johann Wolfgang Goethe, ab 1782 von Goethe (* 28. August 1749 in Frankfurt am Main; † 22. März 1832 in Weimar), war ein deutscher Dichter und Naturforscher. Er gilt als einer der bedeutendsten Schöpfer deutschsprachiger Dichtung."
verfasser,-0.7767906780837748,-2.853051319845661,"Hamerling, Robert","Hamerling, Robert",494,393,42,11,2,2,0,7,2,4,34,11,8,0,0,393,42,11,2,2,0,7,2,4,34,11,8,0,0,"Robert Hamerling, geboren als Rupert Johann Hammerling, (* 24. März 1830 in Kirchberg am Walde, Niederösterreich; † 13. Juli 1889 in (Stifting bei) Graz) war ein österreichischer Dichter und Schriftsteller."
verfasser,0.20169100448945204,-0.6612936995815974,"Handtmann, Eduard","Handtmann, Eduard",280,266,10,4,0,0,0,0,2,0,1,1,0,0,0,266,10,4,0,0,0,0,2,0,1,1,0,0,0,Friedrich August Eduard Handtmann (* 28. Mai 1842 in Potsdam; † 24. November 1912 ebenda) war ein deutscher evangelischer Geistlicher und Sagensammler.
