ID,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser,x,y
Q55,0,0,0,0,0,0,0,0,2,1,0,0,0,Sonstige,2.896101659,0.4985075355
Q56,5,4,0,3,0,0,4,1,12,0,0,0,5,[ohne Angabe],11.08927288,8.069546862
Q57,0,0,0,2,0,1,5,3,0,0,0,0,0,"Pantenius, Theodor Hermann",-0.1526091744,0.8798547659
Q58,0,0,0,2,0,3,4,2,2,0,0,0,0,"Pantenius, Theodor Hermann",0.3406510951,0.4097820054
Q59,2,0,0,0,0,0,4,3,0,0,0,0,0,"Pietsch, Ludwig",0.3030574649,0.959443455
Q6,0,0,2,23,0,2,5,2,0,0,0,1,0,"Fontane, Theodor",-2.584436907,0.4465340389
Q60,38,7,0,39,0,0,5,3,1,0,0,0,0,"Pietsch, Ludwig",0.7395013119,-3.213233031
"Q61,1",17,0,0,7,0,30,5,3,0,0,0,0,0,"Platen, August von",0.5133947448,1.85556854
"Q61,2",6,0,0,14,0,1,5,3,2,0,2,0,0,"Platen, August von",-0.2877150694,0.4947529225
"Q61,3",0,0,0,6,1,0,4,3,0,0,0,0,0,"Platen, August von",0.05382938806,1.296288007
"Q61,4",8,0,0,5,0,0,4,3,0,0,3,0,0,"Platen, August von",0.4139223937,1.157950762
Q62,0,0,0,50,0,0,5,3,1,0,0,0,0,Sonstige,-0.4622492325,1.067253787
Q63,0,0,0,0,0,0,4,3,0,0,0,0,0,"Roquette, Otto",0.2655963931,0.9783995026
Q64,2,0,0,4,0,0,5,3,11,19,0,0,0,"Roquette, Otto",1.830763655,-2.488105986
Q65,0,0,0,3,0,0,5,4,0,0,1,0,0,"Roquette, Otto",-0.1924259464,1.415754327
"Q66,3-4",55,11,0,60,0,9,5,3,18,0,1,0,0,"Schiller, Friedrich von",0.02895654961,-5.924550316
"Q66,5-6",37,10,0,49,0,50,8,3,6,3,1,0,0,"Schiller, Friedrich von",-0.6761960634,-5.101472439
"Q66,7-8",0,0,0,24,0,77,5,3,1,0,0,0,0,"Schiller, Friedrich von",2.810256933,1.988852713
"Q67,1",0,0,0,5,0,0,3,9,0,0,0,0,0,"Storm, Theodor",1.835675619,4.263946505
"Q67,2",0,0,0,3,0,3,5,2,0,0,0,0,0,"Storm, Theodor",-0.1207664324,0.43140406
"Q67,3",0,0,0,5,0,1,4,3,0,0,0,0,0,"Storm, Theodor",0.2886337878,0.9325161689
"Q67,5",0,0,0,7,0,1,4,2,0,0,0,0,0,"Storm, Theodor",0.4204340827,0.5022400199
"Q67,6",6,0,0,2,0,0,6,2,0,1,0,0,0,"Storm, Theodor",-0.6298680467,0.2198536304
"Q67,8",0,0,0,2,0,0,5,1,0,0,0,0,0,"Storm, Theodor",-0.2215407344,-0.03168142518
"Q67,9",0,0,0,2,0,1,4,0,0,0,0,0,0,"Storm, Theodor",1.432922883,0.06532893045
Q68,0,0,0,1,1,0,4,2,1,0,0,0,0,"Storm, Theodor",0.06971644619,0.3186431711
Q69,0,0,0,1,1,0,6,3,1,0,0,0,0,"Trojan, Johannes",-0.8055743218,1.010195088
Q7,0,0,0,8,0,3,5,2,1,0,0,0,0,"Fontane, Theodor",-0.1084192093,0.3714544417
Q70,0,0,0,19,0,4,5,3,0,0,0,0,0,"Trojan, Johannes",-0.1892789221,0.7798846024
Q71,0,0,0,0,0,0,3,2,2,0,0,0,0,[ohne Angabe],0.8787647001,0.6255503736
Q72,0,0,0,0,0,0,4,2,1,0,0,0,0,[ohne Angabe],0.3469255289,0.4921251874
Q73,0,2,0,22,0,5,4,2,1,0,0,0,0,Sonstige,0.460740394,-0.1592670801
Q74,1,0,0,1,8,23,5,9,9,0,2,0,0,Sonstige,-2.104021568,7.240259863
Q75,0,0,0,8,0,0,4,3,0,0,0,0,0,Sonstige,0.306673044,0.9204762254
Q76,7,1,0,121,0,3,4,3,17,26,0,1,0,Sonstige,3.836157947,-3.907657077
Q77,0,0,0,1,0,0,2,2,0,0,0,0,0,Sonstige,1.322140382,0.9000892757
Q78,0,0,0,5,0,0,3,3,2,0,0,0,0,Sonstige,0.7826051897,0.95485849
Q79,0,0,0,14,0,14,4,2,0,0,0,0,0,"Fontane, Theodor",0.6472021205,0.4014491765
Q8,0,0,0,8,0,10,4,2,5,0,1,0,0,"Fontane, Theodor",0.3406602063,0.07173085765
Q80,0,0,0,93,0,7,4,3,0,0,0,0,0,"Lübke, Wilhelm",1.834103608,-0.2338871808
Q81,3,1,0,68,0,19,4,2,0,0,0,0,0,"Lübke, Wilhelm",1.272276217,-0.3982878077
Q82,0,0,0,4,0,1,7,4,10,0,1,0,0,[ohne Angabe],-1.682633934,0.04367590522
"Q83,1",0,0,0,35,0,10,4,2,2,0,0,0,0,"Ritter, Benjamin",0.6874425296,0.1330123317
"Q83,2",1,0,0,2,0,4,4,2,1,0,1,0,0,"Ritter, Benjamin",0.3679900911,0.4288208583
"Q84,2",0,0,0,0,0,0,0,0,1,0,0,0,0,"Sachs, Karl",2.892987877,0.6120173182
"Q84,Suppl",0,0,0,2,0,1,4,3,1,0,0,0,0,"Sachs, Karl",0.2591121108,0.9072058558
Q84,0,0,0,153,0,175,4,4,0,0,0,0,0,"Sachs, Karl",8.176339746,0.6603833391
"Q85,1",0,0,0,35,0,10,4,2,2,0,0,0,0,"Zedlitz-Neukirch, Leopold von",0.6874425296,0.1330123317
"Q85,2",1,0,0,2,0,4,4,2,1,0,1,0,0,"Zedlitz-Neukirch, Leopold von",0.3679900911,0.4288208583
"Q85,3",5,0,0,2,0,1,2,2,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von",1.365875681,0.7759094698
"Q85,4",0,0,0,4,0,0,2,2,0,0,1,0,0,"Zedlitz-Neukirch, Leopold von",1.329205964,0.8579942146
"Q85,5",0,0,0,1,0,0,2,2,0,0,0,0,0,"Zedlitz-Neukirch, Leopold von",1.322140382,0.9000892757
Q86,0,0,0,4,0,0,6,2,0,0,0,0,0,[ohne Angabe],-0.6381951415,0.4244778745
Q87(1854),0,0,0,2,0,0,5,2,0,0,0,0,0,[ohne Angabe],-0.1404768179,0.4486029823
Q87(1857),0,0,0,0,0,1,4,2,0,0,1,0,0,[ohne Angabe],0.3668815411,0.5182328311
